Task,"Parent Task",Status,Priority,Description,Assignee,Files,"Health State",https://miro.com/app/board/uXjVGRIXN-0=/?share_link_id=504822345877
"JIRA Implementation & Rollout","JIRA Implementation & Rollout","In progress",High,"Configure and roll out JIRA across the studio with Agilefall workflows",Glen,,Green,
"Decide whether to use True Recruitment Assessment Tool (with Lorenza)","Hiring Process & Infrastructure",Done,Medium,"Evaluate tool for hiring process - we don't believe that Tru's recruitment assessment tool is meaningful for Couch Heroes",Glen,,,
"Department Leads Development",,"In progress",Medium,"Training modules, role clarity, and stretch assignments for leads",Glen,,Green,
"Short written reflections after key meetings","Coaching Programme","In progress",Medium,"Institutionalise learning",Glen,,,
"Two observed live interactions per month with written feedback (ongoing)","Coaching Programme","In progress",Medium,"Structured observation programme",Glen,,,
"Field practice during real meetings with debriefs (ongoing)","Coaching Programme","In progress",Medium,"Ongoing live coaching",Glen,,,
"Build playbooks with step-by-step patterns","Coaching Programme","In progress",High,"Practical coaching tool",Glen,,,
"Define role charters, scope, and KPIs aligned to product goals","Coaching Programme","Not started",Medium,"Role clarity for each lead",Glen,,,
"Deliver micro-training modules: planning quality, estimation, stakeholder updates, risk language","Coaching Programme","Not started",Medium,"Capability building for leads",Glen,,,
"Executive Coaching Programme","Executive Producer Hiring","In progress",High,"Structured coaching: conflict playbook, live observations, reflections",Glen,,,
"Identify key strengths and weaknesses across C-level and department head staff to establish areas of work","Coaching Programme","In progress",Medium,"Communication is spotty and erratic. Key elements of clarity are missing around core details such as:
• roles and remits
• clarity between roles
• consistency of decision making
• most critically, clarity on vision and overall direction of the game, which needs to be addressed
 the department has had no existing forum that was just for them. They were not in a place to challenge and support each other in a healthy way.
Establishing the leads meeting has been met positively across department leads. They adapted to the hiring process quickly. They are fairly open about what's working well and what's not.
The current sense of ownership is still a little tentative and will take time to establish but is already growing.
So far they're a great group of people to work with.",Glen,,,
"Assign stretch work: cross-team dependency burn-down, release readiness packs","Coaching Programme","Not started",Medium,"Development through stretch assignments",Glen,,,
"Lead Animator Hiring","Hiring Process & Infrastructure","Not started",Medium,"Evaluate current candidate and prepare interview materials. David Luong is decision-maker",Glen,,,
"QA Structure & UX Research","Org Design Presentation & Strategy","Not started",High,"Define QA org, headcount, and UX research approach",Glen,,,
"Write Anthony Marques JD and leveling guide","Hiring Process & Infrastructure","Not started",Medium,"Role definition and leveling",Glen,,,
"Weekly coaching: Department Leads + bi-weekly 1:1s",,"In progress",Medium,"Recurring weekly coaching and bi-weekly one-to-ones with leads",Glen,,Green,
"Fix hiring plan to add UI/UX staffing and reset Anthony Marques's role","Hiring Process & Infrastructure","Not started","Critical ACT","Headcount gap identified in Valeria 1:1 - this was missed in the head cap plan and is an alert that needs to be brought back up to Aris and added",Glen,,,
"Define the critical needed headcount for next steps","Hiring Process & Infrastructure",Done,High,"Priority roles for studio growth - department heads have come together to provide feedback. Headcount has been assembled and it is currently in review with the leadership of Couch Heroes for approval",Glen,,,
"Build out the initial staffing process for Couch Heroes","Hiring Process & Infrastructure",Drafted,High,"Define end-to-end hiring workflow - the end-to-end hiring process from selecting staff down through onboarding has been completed in Miro and needs to be put into a report and we need to define a dissemination process, whether it's on Confluence or somewhere else",Glen,,,
"Link the MIRO board for recruitment workflow / RACI matrix","Hiring Process & Infrastructure","Not started",High,"Connect recruitment process documentation",Glen,,,
"Hiring Process & Infrastructure","Hiring Process & Infrastructure","Not started",High,"Build end-to-end hiring workflow and address headcount gaps",Glen,,,
"Realign Mustafa to new role, define new role scope","CTO Hiring",Done,Medium,"Part of CTO transition planning - Mustafa has very comfortably aligned to Principal Engineer this transition has so far gone smoothly",Glen,,,
"Help close the CTO role","CTO Hiring","In progress",Medium,"Support offer and negotiation - Cam has a family situation that requires him to go to Australia and be there for an extended period of time. We have offered to Cam, as a studio, to work in an advisor capacity for the time being, with boots on the ground, helping him execute with the team and working with his guidance we are currently waiting on his response to that.",Glen,,,
"Participate in CTO interviews","CTO Hiring",Done,Medium,"Advisory role in interview panel",Glen,,,
"Build CTO interview structure and process","CTO Hiring",Done,High,"End-to-end interview design",Glen,,,
"Build question set for Lead Animator interviews","Hiring Process & Infrastructure","Not started",Medium,"Interview preparation - this was done and I attended the lead animator interview, asking questions directly",Glen,,,
"Identify key CTO candidates","CTO Hiring",Done,High,"Build target candidate list - our first candidate was Cam Dunn and he is the best out of the candidates they've delivered. There are complications that we're working through but confidence is high that this will continue to a full CTO roll",Glen,,,
"Find an executive recruiter for CTO role","CTO Hiring",Done,High,"Source specialist exec recruiter - this is Charlie at True",Glen,,,
"Weekly coaching: Dino 1:1",,"In progress",High,"Recurring weekly 1:1 coaching sessions with Dino",Glen,,Green,
"Org Design Presentation & Strategy",,"In progress",Urgent,"Finalise 3-model org design presentation for exec team and address red team findings",Glen,,,
